provider,provider_team_id,division,training_name
api_football,42,E0,Arsenal
api_football,66,E0,Aston Villa
api_football,35,E0,Bournemouth
api_football,55,E0,Brentford
api_football,51,E0,Brighton
api_football,49,E0,Chelsea
api_football,1346,E0,Coventry
api_football,52,E0,Crystal Palace
api_football,45,E0,Everton
api_football,36,E0,Fulham
api_football,64,E0,Hull
api_football,57,E0,Ipswich
api_football,63,E0,Leeds
api_football,40,E0,Liverpool
api_football,50,E0,Man City
api_football,33,E0,Man United
api_football,34,E0,Newcastle
api_football,65,E0,Nott'm Forest
api_football,746,E0,Sunderland
api_football,47,E0,Tottenham
api_football,542,SP1,Alaves
api_football,531,SP1,Ath Bilbao
api_football,530,SP1,Ath Madrid
api_football,529,SP1,Barcelona
api_football,538,SP1,Celta
api_football,544,SP1,La Coruna
api_football,797,SP1,Elche
api_football,540,SP1,Espanol
api_football,546,SP1,Getafe
api_football,539,SP1,Levante
api_football,535,SP1,Malaga
api_football,727,SP1,Osasuna
api_football,4665,SP1,Santander
api_football,728,SP1,Vallecano
api_football,543,SP1,Betis
api_football,541,SP1,Real Madrid
api_football,548,SP1,Sociedad
api_football,536,SP1,Sevilla
api_football,532,SP1,Valencia
api_football,533,SP1,Villarreal
api_football,192,D1,FC Koln
api_football,167,D1,Hoffenheim
api_football,168,D1,Leverkusen
api_football,157,D1,Bayern Munich
api_football,165,D1,Dortmund
api_football,163,D1,M'gladbach
api_football,169,D1,Ein Frankfurt
api_football,170,D1,Augsburg
api_football,174,D1,Schalke 04
api_football,164,D1,Mainz
api_football,175,D1,Hamburg
api_football,173,D1,RB Leipzig
api_football,160,D1,Freiburg
api_football,185,D1,Paderborn
api_football,1660,D1,Elversberg
api_football,182,D1,Union Berlin
api_football,172,D1,Stuttgart
api_football,162,D1,Werder Bremen
api_football,489,I1,Milan
api_football,497,I1,Roma
api_football,499,I1,Atalanta
api_football,500,I1,Bologna
api_football,490,I1,Cagliari
api_football,895,I1,Como
api_football,502,I1,Fiorentina
api_football,512,I1,Frosinone
api_football,495,I1,Genoa
api_football,505,I1,Inter
api_football,496,I1,Juventus
api_football,487,I1,Lazio
api_football,867,I1,Lecce
api_football,1579,I1,Monza
api_football,492,I1,Napoli
api_football,523,I1,Parma
api_football,488,I1,Sassuolo
api_football,503,I1,Torino
api_football,494,I1,Udinese
api_football,517,I1,Venezia
api_football,77,F1,Angers
api_football,108,F1,Auxerre
api_football,110,F1,Troyes
api_football,111,F1,Le Havre
api_football,1298,F1,Le Mans
api_football,116,F1,Lens
api_football,79,F1,Lille
api_football,97,F1,Lorient
api_football,80,F1,Lyon
api_football,81,F1,Marseille
api_football,91,F1,Monaco
api_football,84,F1,Nice
api_football,114,F1,Paris FC
api_football,85,F1,Paris SG
api_football,94,F1,Rennes
api_football,106,F1,Brest
api_football,95,F1,Strasbourg
api_football,96,F1,Toulouse
api_football,54,E1,Birmingham
api_football,67,E1,Blackburn
api_football,68,E1,Bolton
api_football,56,E1,Bristol City
api_football,44,E1,Burnley
api_football,43,E1,Cardiff
api_football,1335,E1,Charlton
api_football,69,E1,Derby
api_football,1379,E1,Lincoln
api_football,70,E1,Middlesbrough
api_football,58,E1,Millwall
api_football,71,E1,Norwich
api_football,1355,E1,Portsmouth
api_football,59,E1,Preston
api_football,72,E1,QPR
api_football,62,E1,Sheffield United
api_football,41,E1,Southampton
api_football,75,E1,Stoke
api_football,76,E1,Swansea
api_football,38,E1,Watford
api_football,60,E1,West Brom
api_football,48,E1,West Ham
api_football,39,E1,Wolves
api_football,1837,E1,Wrexham
api_football,194,N1,Ajax
api_football,201,N1,AZ Alkmaar
api_football,420,N1,Cambuur
api_football,198,N1,Den Haag
api_football,196,N1,Excelsior
api_football,209,N1,Feyenoord
api_football,205,N1,For Sittard
api_football,410,N1,Go Ahead Eagles
api_football,202,N1,Groningen
api_football,210,N1,Heerenveen
api_football,413,N1,Nijmegen
api_football,197,N1,PSV Eindhoven
api_football,426,N1,Sparta Rotterdam
api_football,427,N1,Telstar
api_football,415,N1,Twente
api_football,207,N1,Utrecht
api_football,195,N1,Willem II
api_football,193,N1,Zwolle
api_football,238,P1,Academico Viseu
api_football,4724,P1,Alverca
api_football,240,P1,Arouca
api_football,211,P1,Benfica
api_football,4716,P1,Casa Pia
api_football,230,P1,Estoril
api_football,15130,P1,Estrela
api_football,242,P1,Famalicao
api_football,762,P1,Gil Vicente
api_football,224,P1,Guimaraes
api_football,214,P1,Maritimo
api_football,215,P1,Moreirense
api_football,225,P1,Nacional
api_football,212,P1,Porto
api_football,226,P1,Rio Ave
api_football,227,P1,Santa Clara
api_football,217,P1,Sp Braga
api_football,228,P1,Sp Lisbon
api_football,996,T1,Alanyaspor
api_football,3579,T1,Amedspor
